bedrooms,bathrooms,sqft_living_media,sqft_lot_media,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,price/sqft_living,price/sqft_lot,price/sqft_above,price/sqft_living15,price/sqft_lot15,Caro
4,2.5,1,1,2,0,0,3,10,2570,1310,1984,0,3740,35230,236.47,26.21,357,245.32,26.04,1
5,3,1,1,1,0,2,4,10,2090,2000,1986,0,2540,10270,267.73,85.21,523.92,431.1,106.62,1
5,4,1,1,2,0,0,3,10,3760,0,1983,0,3430,35096,272.61,36.55,272.61,298.83,29.21,1
3,1,0,1,1,0,0,3,7,1330,0,1928,1954,1340,17689,676.69,11.54,676.69,671.64,50.88,1
3,2.5,0,0,1,0,0,3,8,1340,770,2013,0,2040,9363,286.71,107.87,451.46,296.54,64.61,0
4,2.75,1,1,1,0,2,3,8,1780,1130,1975,0,2920,10988,202.75,55.4,331.46,202.05,53.69,0
4,2.5,1,0,2,0,0,3,10,2770,0,1999,0,2720,10000,432.26,153.51,432.26,440.2,119.74,1
4,3.75,1,1,2,0,0,3,10,4030,0,2006,0,2160,7200,368.49,137.5,368.49,687.5,206.25,1
3,2.5,1,0,2,0,0,3,9,2400,0,2001,0,2080,8615,312.5,96.84,312.5,360.58,87.06,0
4,2,0,0,1,0,0,5,8,1740,0,1958,0,1850,7700,408.05,78.89,408.05,383.78,92.21,0
3,1.75,0,0,1,0,0,3,8,1230,420,1976,0,1930,8958,327.21,53.19,438.94,279.74,60.27,0
3,2,1,1,1,0,2,5,8,1460,1460,1975,0,2920,10988,272.26,58.24,544.52,272.26,72.35,1
4,2.25,0,0,2,0,0,4,8,1840,350,1977,0,2190,10251,333.33,81.03,396.74,333.33,71.21,0
4,2.5,1,1,1,0,3,3,7,1390,1390,1967,0,2860,10506,356.12,94.47,712.23,346.15,94.23,1
3,1,0,1,1,0,0,3,7,1150,340,1963,0,1730,9800,309.06,43.24,400.43,266.18,46.99,0
4,2.25,1,0,2,0,0,4,8,2360,0,1974,0,2360,9337,318.86,87.34,318.86,318.86,80.59,0
3,2.25,0,0,1,0,0,3,7,1230,550,1977,0,1780,7704,264.04,53.51,382.11,264.04,61.01,0
4,3.25,1,1,2,0,0,3,10,3440,0,1983,0,3440,35021,305.23,29.98,305.23,305.23,29.98,1
4,2.5,1,0,2,0,0,4,9,3160,0,1995,0,3000,8281,356.65,136.09,356.65,375.67,136.09,1
3,1.75,0,0,1,0,0,3,7,1010,0,1961,0,1500,8580,346.53,40.79,346.53,233.33,40.79,0
5,5.25,1,1,2,1,4,3,12,5990,2020,1999,0,3430,26788,638.05,112.28,853.22,1490.03,190.79,1
4,1.75,1,0,1,0,3,4,8,1240,1250,1958,0,3210,7834,381.12,121.14,765.32,295.64,121.14,1
3,1,0,0,1,0,0,4,7,1110,0,1960,0,1440,8400,117.12,17.29,117.12,90.28,15.48,0
3,2.5,1,1,1,0,0,3,8,1300,1300,2004,0,1860,10401,287.69,73.46,575.38,402.15,71.92,0
5,2.25,0,0,1,0,0,3,8,1600,500,1974,0,2100,8661,270,81.75,354.38,270,65.47,0
3,2.25,0,0,1,0,0,4,7,1150,700,1977,0,1780,7420,249.19,58.19,400.87,258.99,62.13,0
4,2.25,1,0,1,0,0,4,8,1740,650,1979,0,2240,8858,253.56,68.41,348.28,270.54,68.41,0
3,1.75,0,0,1,0,1,3,8,1560,650,1974,0,2210,8976,309.95,76.49,439.1,309.95,76.31,0
4,2.5,1,0,2,0,0,3,9,2740,0,2009,0,2880,7203,257.66,93.25,257.66,245.14,98.01,0
5,2,0,0,1.5,0,0,4,6,1900,0,1920,0,2110,8400,247.37,78.33,247.37,222.75,55.95,0
3,1.75,0,1,1,0,0,5,8,2170,0,1965,0,1980,9000,417.97,74.22,417.97,458.08,100.78,1
4,2.25,1,0,2,0,0,3,8,2360,0,1979,0,2360,7490,244.49,77.04,244.49,244.49,77.04,0
3,1.75,0,1,1,0,2,5,8,1300,880,1947,0,3540,10318,394.5,60.84,661.54,242.94,83.35,1
4,1.5,0,1,1,0,0,3,7,1510,780,1965,1987,1900,8109,339.08,74.87,514.24,408.68,95.76,1
3,1.75,0,0,1,0,0,4,6,2000,0,1961,0,1440,9555,187,39.72,187,259.72,39.14,0
4,2.25,1,1,2.5,0,3,4,10,3670,700,1907,1994,2980,22863,537.76,102.79,640.33,788.59,102.79,1
4,3.25,1,1,1,0,2,3,9,1750,1580,1969,0,3340,12798,292.79,55.61,557.14,291.92,76.18,1
3,2.5,0,0,1,0,0,4,8,1150,310,1988,0,1550,5449,325.34,95.75,413.04,306.45,87.17,0
3,2,0,0,2,0,2,3,7,1700,0,1927,0,1820,9000,362.53,73.37,362.53,338.63,68.48,0
3,1.75,0,0,2,0,0,3,8,1490,0,1984,2014,3450,8500,560.4,217.45,560.4,242.03,98.24,1
3,1.5,0,0,1,0,0,4,7,1560,0,1961,0,1520,10000,214.74,34.9,214.74,220.39,33.5,0
2,1.5,0,1,1,0,0,4,7,2130,0,1963,0,2670,35679,389.67,23.26,389.67,310.86,23.26,1
3,3.5,1,1,2,0,0,3,11,4070,0,1991,0,3770,26000,363.64,56.92,363.64,392.57,56.92,1
2,1.5,0,0,2,0,0,4,7,1370,0,1987,0,1380,3211,295.62,98.73,295.62,293.48,126.13,0
4,2.5,1,0,2,0,0,3,9,3220,0,2002,0,3150,5083,236.02,188.54,236.02,241.27,149.52,0
2,1,0,0,1,0,0,1,6,920,0,1954,0,1760,8400,581.52,59.44,581.52,303.98,63.69,0
2,2.5,0,0,2,0,0,4,8,1550,0,1987,0,1570,2442,274.84,160.33,274.84,271.34,174.45,0
4,1.75,0,0,2,0,0,2,8,2160,0,1977,0,2080,7700,198.61,55.71,198.61,206.25,55.71,0
3,1.75,0,1,1,0,0,3,7,1610,0,1955,0,1610,11200,279.5,40.18,279.5,279.5,40.18,0
4,3.5,1,0,2,0,0,3,11,3070,1050,2006,0,2470,9600,235.18,132.66,315.61,392.28,100.93,1
4,2.25,0,0,2,0,0,3,8,1990,0,1973,0,2320,8926,218.59,50.89,218.59,187.5,48.73,0
3,1,0,0,1,0,0,4,7,940,0,1967,0,1060,8512,377.66,41.71,377.66,334.91,41.71,0
2,2.5,0,0,2,0,0,3,9,1590,0,1997,0,2320,3174,257.8,222.17,257.8,176.68,129.14,0
4,2.5,1,1,2,0,0,3,10,3780,0,1990,0,3310,11651,259.26,89.4,259.26,296.07,84.11,1
3,2.75,1,1,1.5,0,0,3,8,1590,1390,1941,2012,1520,9660,302.01,71.43,566.04,592.11,93.17,1
4,2.5,1,0,2,0,0,5,8,2370,0,1966,0,2370,10133,289.87,68.13,289.87,289.87,67.8,0
3,1.75,1,0,2,0,0,4,6,2400,1200,1948,0,2290,8200,128.06,53.2,192.08,201.31,56.22,0
4,2.75,0,0,1,0,0,4,8,1460,780,1976,0,2360,9038,301.34,75.53,462.33,286.02,74.68,0
4,2,0,1,1,0,0,5,8,1120,1120,1961,0,1790,11040,289.73,58.79,579.46,362.57,58.79,0
3,2.75,1,0,1,0,1,5,8,1640,1130,1962,0,2450,10000,244.77,67.8,413.41,276.73,67.8,0
4,3.5,1,0,2,0,2,3,9,2250,850,1981,0,2660,2000,415.81,570.1,572.89,484.59,644.5,1
4,2.25,0,1,2,0,0,3,8,2090,0,1970,0,1800,17788,234.45,45.08,234.45,272.22,27.55,0
5,3.25,1,1,1,0,2,4,9,2230,850,1968,0,2810,10720,365.26,83.99,504.48,400.36,104.94,1
3,2,0,1,1,0,1,4,7,1670,0,1959,0,2210,11337,332.67,49,332.67,251.39,49,0
3,1,0,0,1,0,0,3,6,1020,0,1919,0,1870,5500,612.75,81.7,612.75,334.22,113.64,0
3,1,0,0,2,0,0,4,7,1060,0,1962,1997,2010,8901,449.53,55.25,449.53,237.06,53.53,0
5,1.5,0,1,1,0,0,3,6,1390,360,1961,0,1560,12473,265.71,37.23,334.53,298.08,37.28,0
3,2.25,0,0,1,0,0,4,7,1070,500,1977,0,2250,9583,304.46,50.32,446.73,212.44,49.88,0
4,2,0,0,1,0,0,3,7,1830,0,1963,0,1970,10754,266.8,50.81,266.8,247.84,45.4,0
2,1,0,0,1,0,0,4,6,840,0,1928,0,1740,9784,428.57,48.56,428.57,206.9,36.79,0
3,2.5,0,0,2,0,0,3,9,2080,0,1996,0,2080,4000,432.16,241.05,432.16,432.16,224.72,1
5,4,1,0,2,0,0,3,10,3310,0,2000,0,3430,8400,498.49,196.43,498.49,481.05,196.43,1
3,1.75,0,1,1,0,0,3,7,1630,0,1958,0,1830,10850,320.25,33.46,320.25,285.25,48.11,0
3,2.5,0,0,1,0,0,3,8,1760,430,1991,0,2060,9811,320.55,82.32,398.86,340.78,71.55,0
5,2.75,1,0,2,0,0,3,9,3020,0,2007,0,2250,9675,291.39,95.79,291.39,391.11,90.96,1
2,1,0,0,1,0,1,4,7,710,440,1921,0,2450,7200,721.74,138.33,1169.01,338.78,115.28,1
3,2,1,1,2,0,0,4,7,2370,0,1970,0,1380,12196,206.75,40.18,206.75,355.07,40.18,0
6,2.5,1,1,1,0,0,5,7,1340,1340,1967,0,2200,9875,260.45,62.04,520.9,317.27,70.68,0
3,2.5,0,0,2,0,0,3,8,1900,0,1990,0,1980,9583,269.74,67.4,269.74,258.84,53.48,0
4,2.5,1,0,2,0,0,3,9,3220,0,2003,0,3220,4921,256.21,156.78,256.21,256.21,167.65,1
3,2,0,0,1,0,0,4,7,1770,0,1967,0,2250,11250,290.4,71.39,290.4,228.44,45.69,0
3,2.5,0,1,2,0,0,5,7,1550,0,1999,0,2610,10800,346.45,41.56,346.45,205.75,49.72,0
2,1,0,0,1,0,1,4,6,960,0,1942,0,1460,6054,687.5,105.38,687.5,452.05,109.02,0
4,2,0,1,1,0,2,3,7,1020,1020,1959,0,2040,8504,367.16,63.21,734.31,367.16,88.08,0
4,2.75,1,0,1,0,2,4,8,1450,1110,1975,0,2500,9009,343.75,110.54,606.9,352,97.68,1
4,2.5,1,0,1,0,0,3,8,1380,1300,1952,2013,1950,8520,298.51,111.11,579.71,410.26,93.9,1
4,2.75,0,0,2,0,0,5,7,2090,0,1967,0,1460,8400,339.71,88.05,339.71,486.3,84.52,0
3,1,0,0,1,0,2,4,6,1230,180,1942,0,1410,5400,460.99,134.3,528.46,460.99,120.37,0
4,2.75,1,0,1,0,0,4,7,1780,630,1956,0,2090,9549,314.52,79.38,425.84,362.68,79.38,0
3,2.5,0,0,1,0,0,5,7,1310,500,1960,0,2050,7200,457.18,114.93,631.68,403.66,114.93,1
5,2.5,1,1,2,0,0,4,10,3180,0,1990,0,3180,13798,251.84,58.01,251.84,251.84,58.04,1
3,2,0,0,1,0,0,5,6,1010,0,1942,0,1920,6015,668.32,113.01,668.32,351.56,112.22,0
4,1.75,0,0,1,0,0,3,8,1140,760,1975,0,2280,8800,355.26,76.7,592.11,296.05,76.7,0
1,1.5,0,0,2,0,0,4,7,810,0,1982,0,1320,3298,351.85,88.76,351.85,215.91,86.42,0
4,2.5,1,1,2,0,0,3,10,3340,0,1996,0,1770,9490,344.31,110.34,344.31,649.72,121.18,1
5,1.75,0,0,1,0,0,3,7,1200,940,1962,0,1600,9206,246.73,61.54,440,330,57.35,0
1,2.25,0,0,2,0,2,4,8,1220,0,1946,1979,3150,6000,501.56,291.38,501.56,194.25,101.98,0
6,5,1,0,2,0,0,3,7,2850,0,1994,0,1870,9900,229.82,99.24,229.82,350.27,66.16,0
3,1.75,0,0,1,0,0,3,7,1660,0,1956,0,2090,9549,406.63,70.69,406.63,322.97,70.69,0
3,1,0,1,1,0,0,4,7,1290,0,1966,0,1930,8000,510.08,54.81,510.08,340.93,82.25,0
2,1,0,1,1.5,0,0,5,7,1670,0,1930,0,1800,11355,296.41,33.68,296.41,275,43.59,0
4,3.5,1,0,2,0,0,3,10,4060,0,2005,0,2410,9486,394.09,168.67,394.09,663.9,168.67,1
5,3.25,1,0,2,0,0,3,9,2910,1020,2014,0,2040,5115,442.75,316.36,597.94,852.94,340.18,1
3,2.25,0,0,1,0,0,4,8,2060,0,1966,0,2030,9000,432.04,103.01,432.04,438.42,98.89,1
4,3.5,1,1,2,0,0,3,10,3020,0,1990,0,3120,14351,280.07,66.34,280.07,271.09,58.94,1
3,1.75,0,0,1,0,0,5,7,1610,0,1962,0,2010,8670,450.31,84.18,450.31,360.7,83.62,0
3,1.75,0,0,1,0,0,4,6,980,0,1942,0,1150,6054,670.92,109.55,670.92,571.74,108.61,0
3,2.5,0,0,2,0,0,3,8,2150,0,1995,0,2150,7172,264.65,70.6,264.65,264.65,79.34,0
4,2.75,0,1,1,0,0,5,7,1020,590,1982,0,1610,9000,357.14,51.33,563.73,357.14,63.89,0
4,1.75,1,1,1.5,0,0,4,8,2600,0,1965,0,2750,37318,391.15,24.78,391.15,369.82,27.25,1
2,2.5,0,0,2,0,0,3,8,1470,0,2005,0,1470,6511,331.29,192.26,331.29,331.29,74.8,0
3,1.75,0,0,2,0,0,3,8,1720,0,1981,0,1620,9324,334.3,96.54,334.3,354.94,61.67,0
4,1.75,0,0,1,0,0,4,7,1450,740,1962,0,1980,9000,331.05,77.13,500,366.16,80.56,0
4,2.5,1,0,2,0,0,4,8,2700,0,1994,0,2120,8056,310.19,89.86,310.19,395.05,103.96,1
4,2.5,0,1,1,0,2,3,8,1170,1020,1973,0,2630,10843,380.37,65.64,711.97,316.73,76.82,1
3,2.5,0,0,2,0,0,3,9,1950,0,1996,0,2080,4000,461.03,241.02,461.03,432.21,224.75,1
3,2.5,1,0,2,0,0,3,8,2980,0,1999,0,2430,7280,274.24,113.48,274.24,336.32,112.26,1
4,2.25,0,0,1,0,0,3,8,1330,620,1968,0,2170,9800,287.18,57.14,421.05,258.06,57.14,0
4,2.75,0,0,1,0,0,4,8,1260,780,1974,0,2470,9180,227.76,51.65,368.75,188.11,50.61,0
3,1.75,0,0,1,0,0,4,7,1190,380,1983,0,1530,8708,318.47,58.62,420.17,326.8,57.42,0
4,4,1,1,2,0,2,3,13,4900,1430,2000,0,2200,9196,376.78,179.38,486.73,1084.09,259.35,1
3,1.5,0,1,1,0,0,3,7,2240,0,1953,0,2150,9900,220.98,37.25,220.98,230.23,50,0
3,1.75,0,0,1,0,0,4,7,880,970,1982,0,1450,10530,243.24,51.92,511.36,310.34,42.74,0
3,2,0,1,1,0,0,3,7,1840,0,1968,0,2300,16067,304.35,37.37,304.35,243.48,34.85,0
3,2.5,1,1,1.5,0,0,3,10,3430,0,1984,0,3440,35021,350.58,41.87,350.58,349.56,34.34,1
3,1.5,0,0,1,0,0,5,7,1300,0,1960,0,2280,7200,480.77,86.81,480.77,274.12,86.81,0
4,2.5,0,0,2,0,0,4,7,2110,0,1977,0,2350,8625,317.54,91.89,317.54,285.11,77.68,0
3,2,0,0,1,0,0,4,8,1530,0,1984,0,2240,7201,388.89,87.85,388.89,265.63,82.63,0
4,3.5,1,0,2,0,3,3,9,2980,0,1998,0,2870,6349,449.33,210.9,449.33,466.55,210.9,1
4,2.5,0,1,2,0,0,5,8,2300,0,1955,0,1780,10843,265.22,56.26,265.22,342.7,56.26,0
3,1.75,0,0,1,0,0,4,7,1150,380,1983,0,1610,8549,350.33,63.04,466.09,332.92,62.7,0
4,2.5,1,1,2,0,0,3,10,3170,0,1988,0,3190,35110,326.5,21.79,326.5,324.45,29.48,1
4,2.25,0,1,1,0,0,4,9,2260,0,1967,0,2650,37318,409.29,22.03,409.29,349.06,24.79,1
4,2.5,0,0,1,0,3,3,7,1240,950,1960,0,2730,14659,502.28,174.6,887.1,402.93,75.04,1
4,2.5,1,0,2,0,0,3,9,3150,0,2002,0,3150,5169,258.73,193.91,258.73,258.73,157.67,1
4,1.75,0,0,1,0,0,4,7,1090,780,1962,0,2010,10000,262.03,51.58,449.54,243.78,49,0
4,3.5,1,1,2,0,3,3,11,3500,1200,1958,1995,3210,15306,563.83,193.01,757.14,825.55,173.13,1
4,1.75,0,0,1,0,0,4,8,1340,450,1976,0,2180,10500,451.96,96.63,603.73,371.1,77.05,1
3,1,0,0,1,0,0,4,7,1270,0,1956,0,2260,7200,602.36,117.69,602.36,338.5,106.25,0
3,1,0,0,1,0,0,5,7,1130,0,1952,0,1930,9906,376.99,46.57,376.99,220.73,43,0
4,3.5,1,0,2,0,1,3,11,2430,1420,1995,0,2620,9346,275.32,130.86,436.21,404.58,113.42,1
3,2.5,1,1,2,0,0,3,9,2670,0,2003,0,2620,8895,303.37,77.28,303.37,309.16,91.06,1
3,2,0,0,1,0,2,4,6,1360,0,1942,0,2530,7680,561.03,87.18,561.03,301.58,99.35,0
3,3.25,1,0,2,0,0,3,11,3690,0,2007,0,1880,7200,428.18,219.44,428.18,840.43,219.44,1
3,2.5,0,0,1,0,2,4,7,1160,450,1981,0,2260,8328,422.36,84.33,586.21,300.88,81.65,0
5,4.25,1,0,2,0,0,3,10,3450,780,2008,0,2650,8076,330.97,202.69,405.8,528.3,173.35,1
4,3.75,1,0,2,0,0,3,10,4260,0,2008,0,1950,8970,250,108.67,250,546.15,118.73,1
2,1,0,0,1,0,0,4,7,920,0,1981,0,1340,10000,603.8,55.55,603.8,414.55,55.55,0
4,1,0,1,1,0,0,5,7,2170,0,1961,0,1270,12844,260.37,46.69,260.37,444.88,43.99,0
3,1.75,0,0,2,0,0,3,8,1660,0,1978,0,1720,6600,277.11,46.46,277.11,267.44,69.7,0
4,3.25,1,0,2,0,0,3,10,2810,920,2006,0,2490,7200,398.12,206.25,528.47,596.39,206.25,1
4,3.5,1,0,1,0,1,5,9,1690,1690,1952,0,1890,8400,254.44,106.2,508.88,455.03,102.38,1
4,2,0,0,1,0,0,3,7,1580,0,1953,0,1580,10552,259.49,42.79,259.49,259.49,38.86,0
2,0.75,0,0,1.5,0,2,4,6,1080,180,1942,0,2660,7200,623.02,163.54,726.85,295.11,109.03,1
3,1,0,1,1,0,0,3,7,1000,0,1951,0,1370,7962,725,36.31,725,529.2,91.06,0
4,2,0,0,1.5,0,0,5,7,2130,0,1939,0,1490,6000,357.75,138.55,357.75,511.41,127,0
3,2.5,1,0,2,0,1,3,9,2415,0,1981,0,2660,2165,337.47,372.83,337.47,306.39,376.44,1
2,1,0,0,1,0,0,3,7,1670,0,1954,1975,1980,7500,395.21,80.54,395.21,333.33,88,0
3,2.5,0,0,2,0,0,3,9,2230,0,2003,0,1900,8238,464.13,180,464.13,544.74,125.64,1
3,1,0,1,1,0,0,4,7,1120,0,1977,0,2380,10000,549.11,49.2,549.11,258.4,61.5,0
2,1,0,0,1,0,0,4,6,1040,0,1955,0,1640,7200,661.06,95.49,661.06,419.21,95.49,0
4,2.5,1,0,2,0,0,3,9,3430,0,2014,0,1530,7800,376.09,179.17,376.09,843.14,165.38,1
4,2.5,1,0,2,0,0,3,9,3070,0,2009,0,2190,9218,280.13,124.22,280.13,392.69,93.3,1
3,2,0,0,1.5,0,0,4,6,1070,910,1911,0,1330,8704,306.06,78.91,566.36,455.64,69.62,0
3,2.25,0,1,1,0,0,3,7,960,460,1976,0,1480,10980,316.9,33.41,468.75,304.05,40.98,0
4,2.5,1,0,2,0,0,3,9,3030,0,2003,0,2570,8830,297.69,106.03,297.69,350.97,102.15,1
3,1.5,0,1,1,0,0,3,7,1390,0,1961,0,1750,10530,323.74,42.74,323.74,257.14,42.74,0
3,2,0,1,2,0,0,5,7,2310,0,1965,0,1430,10523,271.43,59.57,271.43,438.46,59.58,0
3,1.75,0,0,1,0,0,3,7,1160,400,1989,0,1690,8772,314.1,52.99,422.41,289.94,55.86,0
6,1.5,0,0,1.5,0,0,2,7,1680,0,1911,0,1890,5500,368.75,119.09,368.75,327.78,112.64,0
3,2.5,0,0,2,0,0,3,8,1320,310,1997,0,1920,14550,257.61,239.26,318.11,218.7,28.86,0
3,1,0,0,1,0,0,3,6,1010,0,1981,0,1470,9360,346.53,37.39,346.53,238.1,37.39,0
3,2.5,0,0,2,0,0,3,8,2150,0,1995,0,2150,7172,273.02,113.04,273.02,273.02,81.85,0
3,1.5,0,0,1,0,0,4,7,1300,0,1965,0,1300,9129,438.46,78.22,438.46,438.46,62.44,0
3,1.75,0,1,1,0,0,3,7,1270,0,1956,0,1270,10790,317.32,37.35,317.32,317.32,37.35,0
3,1.75,0,0,1,0,0,4,7,1290,0,1962,0,1840,8580,356.59,53.61,356.59,250,53.61,0
3,1.75,0,0,1,0,0,3,7,1480,0,1974,0,2040,7810,344.59,72.44,344.59,250,65.3,0
4,2.5,1,0,2,0,0,3,9,2780,0,2004,0,1160,6837,392.09,159.43,392.09,939.66,159.43,1
4,2.5,1,0,2,0,0,3,9,2850,0,1998,0,2440,7072,314.04,104.97,314.04,366.8,126.56,1
4,2.75,1,0,1,0,0,3,8,1700,850,1972,0,2550,9534,270.98,80.05,406.47,270.98,72.48,0
2,2,0,0,1,0,2,5,6,1460,0,1900,0,2554,7834,691.78,111.58,691.78,395.46,128.93,1
4,2.25,0,1,1.5,0,0,5,7,1300,900,1920,0,2320,10814,317.27,62.04,536.92,300.86,64.55,0
4,2.5,1,1,2,0,0,3,9,3360,0,1988,0,3400,14091,282.74,82.27,282.74,279.41,67.42,1
4,2.25,0,0,1,0,0,4,8,1360,440,1980,0,2370,8623,290,60.54,383.82,220.25,60.54,0
3,2,0,1,1,0,0,5,7,1080,0,1986,0,1220,9247,363.7,33.13,363.7,321.97,42.48,0
5,3.25,1,0,1,0,2,3,10,2000,1540,2005,0,2820,6029,380.79,225.76,674,478.01,223.59,1
4,2,1,1,1,0,0,4,7,1280,1230,1961,2001,1220,12500,231.47,42.42,453.91,476.23,46.48,0
2,1.75,0,0,2,0,0,3,7,1350,0,1986,0,1370,4115,300,152.66,300,295.62,98.42,0
4,2,1,1,1,0,0,4,7,2400,0,1962,0,1830,12060,243.75,45.87,243.75,319.67,48.51,0
4,3.25,1,0,2,0,0,3,10,2830,640,2005,0,3090,6758,432.28,287.25,530.04,485.44,221.96,1
3,1.75,0,0,1,0,0,3,8,1500,0,1974,0,1920,7579,352.67,71.81,352.67,275.52,69.8,0
4,2.5,1,0,2,0,0,3,9,2500,0,2001,0,2680,7200,260,108.24,260,242.54,90.28,0
2,1,0,1,1.5,0,0,3,6,1140,0,1966,0,2940,8417,510.96,24.5,510.96,198.13,69.21,0
3,2.5,0,0,2,0,0,3,8,1860,0,1993,0,1530,9204,336.02,62.33,336.02,408.5,67.91,0
4,1.5,0,1,2,0,0,3,7,1680,0,1962,0,1830,10264,312.5,50,312.5,286.89,51.15,0
4,1.5,0,1,1,0,0,3,7,1940,0,1962,0,1380,12100,201.03,32.23,201.03,282.61,32.23,0
3,1,0,0,1,0,0,4,6,860,0,1942,1990,2136,13009,463.95,42.43,463.95,186.8,30.67,0
4,3.5,1,1,2,0,2,3,11,4610,0,2003,0,2340,11538,357.48,131.84,357.48,704.27,142.83,1
3,1.5,0,0,1,0,0,4,7,1280,0,1960,0,1510,10005,316.41,42.19,316.41,268.21,40.48,0
2,1.75,0,0,1,0,0,4,7,1000,650,1959,0,2530,9000,406.06,89.33,670,264.82,74.44,0
3,1.5,0,1,1,0,0,4,6,1190,830,1956,0,2370,9520,230.2,40.94,390.76,196.2,48.84,0
5,4,1,1,2,1,4,3,8,3230,1000,1949,1985,2660,27295,638.3,98.92,835.91,1015.04,98.92,1
7,4,1,1,1,0,0,4,8,2690,0,1960,0,1840,10836,221.99,54.89,221.99,324.54,55.11,0
4,2.25,0,0,1,0,0,3,8,1540,630,1974,0,2040,7700,258.99,80.21,364.94,275.49,72.99,0
3,1.5,0,0,1,0,0,4,7,980,0,1968,0,1470,7350,473.27,59.69,473.27,315.51,63.1,0
4,3.5,1,0,2,0,0,3,10,2460,1040,1996,0,3160,5997,392.86,144.39,558.94,435.13,229.28,1
4,2.25,0,0,1,0,0,5,8,1360,710,1974,0,2180,8510,311.59,73.97,474.26,295.87,75.79,0
3,2.5,1,1,2,0,0,4,9,2560,190,1981,0,2370,11279,268.73,46.19,288.67,311.81,65.52,0
5,3.25,1,0,2,0,0,3,10,3370,0,2001,0,2040,7900,316.02,134.01,316.02,522.06,134.81,1
